axis,beta,se,p,wild_p,bjs,n,G,base,tost25,ci_lo,ci_hi
semantic_score,-0.004280441268451061,0.004004004204769252,0.2850515767055706,0.3575,-0.003113609854770048,5956,181,0.9453872053707182,0.0,-0.012128289509798796,0.0035674069728966733
keyboard_score,-0.0016319588702596842,0.003691428923468902,0.6584211288107493,0.6875,-0.0011034931808209802,5956,181,0.9637933133207983,0.0,-0.008867159560258733,0.005603241819739364
wcag_total_dens,-0.0015875329781434848,0.0023180763958307684,0.49343902705585596,0.52,-0.0015141861717630437,5956,181,0.034523828920865716,0.0011888821219000478,-0.006130962713971791,0.0029558967576848215
wcag_operable_dens,-0.00156797011372379,0.0019209901327819675,0.4143685011076914,0.435,-0.0018196140834355258,5956,181,0.018249626488181053,0.05952204147783913,-0.005333110773976446,0.002197170546528866
severity_weighted_dens,-0.002853117096906846,0.004801101336584319,0.5523361918961678,0.565,-0.0021684589812278466,5956,181,0.07976034148419038,0.0001861571107943938,-0.01226327571661211,0.006557041522798419
