repo_id,snapshot_month,n_components,semantic_score,aria_score,keyboard_score,wcag_total_dens,wcag_operable_dens,severity_weighted_dens,total_elements,is_treated,treatment_date,full_name,treated_tier,month_int,t_month_int,is_post,rel_month
485134435,2023-11,156,0.9935897435897436,1.0,1.0,0.0005181347150259067,0.0,0.0015544041450777201,1930,0,2025-05-01,ajnart/homarr,0,46,64,0,-18
485134435,2023-12,162,0.9938271604938271,1.0,1.0,0.0005063291139240507,0.0,0.0015189873417721519,1975,0,2025-05-01,ajnart/homarr,0,47,64,0,-17
485134435,2024-01,165,0.9939393939393939,1.0,1.0,0.0004982561036372695,0.0,0.0014947683109118087,2007,0,2025-05-01,ajnart/homarr,0,48,64,0,-16
485134435,2024-02,170,0.9941176470588236,1.0,1.0,0.000484027105517909,0.0,0.001452081316553727,2066,0,2025-05-01,ajnart/homarr,0,49,64,0,-15
485134435,2024-03,173,0.9942196531791907,1.0,1.0,0.0004572473708276177,0.0,0.0013717421124828531,2187,0,2025-05-01,ajnart/homarr,0,50,64,0,-14
485134435,2024-04,178,0.9943820224719101,1.0,1.0,0.00043252595155709344,0.0,0.0012975778546712802,2312,0,2025-05-01,ajnart/homarr,0,51,64,0,-13
485134435,2024-05,180,0.9944444444444445,1.0,1.0,0.0004268032437046522,0.0,0.0012804097311139564,2343,0,2025-05-01,ajnart/homarr,0,52,64,0,-12
485134435,2024-08,180,0.9944444444444445,1.0,1.0,0.0004253509145044662,0.0,0.0012760527435133986,2351,0,2025-05-01,ajnart/homarr,0,55,64,0,-9
485134435,2024-09,180,0.9944444444444445,1.0,1.0,0.0004253509145044662,0.0,0.0012760527435133986,2351,0,2025-05-01,ajnart/homarr,0,56,64,0,-8
485134435,2024-10,180,0.9944444444444445,1.0,1.0,0.0004253509145044662,0.0,0.0012760527435133986,2351,0,2025-05-01,ajnart/homarr,0,57,64,0,-7
485134435,2024-11,180,0.9944444444444445,1.0,1.0,0.00042498937526561835,0.0,0.0012749681257968552,2353,0,2025-05-01,ajnart/homarr,0,58,64,0,-6
485134435,2024-12,180,0.9944444444444445,1.0,1.0,0.00042498937526561835,0.0,0.0012749681257968552,2353,0,2025-05-01,ajnart/homarr,0,59,64,0,-5
485134435,2025-01,180,0.9944444444444445,1.0,1.0,0.00042498937526561835,0.0,0.0012749681257968552,2353,0,2025-05-01,ajnart/homarr,0,60,64,0,-4
485134435,2025-02,180,0.9944444444444445,1.0,1.0,0.00042498937526561835,0.0,0.0012749681257968552,2353,0,2025-05-01,ajnart/homarr,0,61,64,0,-3
485134435,2025-03,180,0.9944444444444445,1.0,1.0,0.00042498937526561835,0.0,0.0012749681257968552,2353,0,2025-05-01,ajnart/homarr,0,62,64,0,-2
485134435,2025-05,180,0.9944444444444445,1.0,1.0,0.00042498937526561835,0.0,0.0012749681257968552,2353,0,2025-05-01,ajnart/homarr,0,64,64,1,0
485134435,2025-08,181,0.994475138121547,1.0,1.0,0.000419639110365086,0.0,0.001258917331095258,2383,0,2025-05-01,ajnart/homarr,0,67,64,1,3
485134435,2025-10,181,0.994475138121547,1.0,1.0,0.000419639110365086,0.0,0.001258917331095258,2383,0,2025-05-01,ajnart/homarr,0,69,64,1,5
485134435,2026-01,181,0.994475138121547,1.0,1.0,0.000419639110365086,0.0,0.001258917331095258,2383,0,2025-05-01,ajnart/homarr,0,72,64,1,8
485134435,2026-02,181,0.994475138121547,1.0,1.0,0.000419639110365086,0.0,0.001258917331095258,2383,0,2025-05-01,ajnart/homarr,0,73,64,1,9
488802963,2021-05,4,1.0,1.0,1.0,0.0,0.0,0.0,17,0,2025-05-06,antvis/G6VP,0,16,64,0,-48
488802963,2021-06,32,0.9328125,1.0,0.9375,0.03543307086614173,0.01968503937007874,0.07874015748031496,254,0,2025-05-06,antvis/G6VP,0,17,64,0,-47
488802963,2021-07,42,0.9071428571428571,1.0,0.9285714285714286,0.05128205128205128,0.028846153846153848,0.11217948717948718,312,0,2025-05-06,antvis/G6VP,0,18,64,0,-46
488802963,2021-08,46,0.8934782608695653,1.0,0.9130434782608695,0.04846938775510204,0.02295918367346939,0.11224489795918367,392,0,2025-05-06,antvis/G6VP,0,19,64,0,-45
488802963,2021-09,56,0.8607142857142858,1.0,0.8928571428571429,0.06423982869379015,0.032119914346895075,0.14775160599571735,467,0,2025-05-06,antvis/G6VP,0,20,64,0,-44
488802963,2021-10,63,0.8825396825396825,1.0,0.9047619047619048,0.056530214424951264,0.02729044834307992,0.13060428849902533,513,0,2025-05-06,antvis/G6VP,0,21,64,0,-43
488802963,2021-11,97,0.8618556701030927,1.0,0.8865979381443299,0.060786650774731825,0.03218116805721097,0.13706793802145412,839,0,2025-05-06,antvis/G6VP,0,22,64,0,-42
488802963,2021-12,107,0.8785046728971962,1.0,0.9158878504672897,0.04858757062146893,0.023728813559322035,0.11186440677966102,885,0,2025-05-06,antvis/G6VP,0,23,64,0,-41
488802963,2022-01,128,0.8984375,1.0,0.9296875,0.04455958549222798,0.021761658031088083,0.10259067357512953,965,0,2025-05-06,antvis/G6VP,0,24,64,0,-40
488802963,2022-02,130,0.9,1.0,0.9307692307692308,0.0446985446985447,0.02182952182952183,0.10291060291060292,962,0,2025-05-06,antvis/G6VP,0,25,64,0,-39
488802963,2022-03,153,0.8986928104575164,1.0,0.9281045751633987,0.04913557779799818,0.02456778889899909,0.11282984531392175,1099,0,2025-05-06,antvis/G6VP,0,26,64,0,-38
488802963,2022-04,140,0.9,1.0,0.9357142857142857,0.054371002132196165,0.026652452025586353,0.1257995735607676,938,0,2025-05-06,antvis/G6VP,0,27,64,0,-37
488802963,2022-05,187,0.8757320855614973,1.0,0.9197860962566845,0.05737704918032787,0.033417402269861285,0.1273644388398487,1586,0,2025-05-06,antvis/G6VP,0,28,64,0,-36
488802963,2022-06,205,0.8650404878048781,1.0,0.9170731707317074,0.0638063806380638,0.03355335533553355,0.14631463146314633,1818,0,2025-05-06,antvis/G6VP,0,29,64,0,-35
488802963,2022-07,237,0.8748240506329115,1.0,0.9282700421940928,0.06043956043956044,0.030969030969030968,0.13986013986013987,2002,0,2025-05-06,antvis/G6VP,0,30,64,0,-34
488802963,2022-08,251,0.855909561752988,1.0,0.9203187250996016,0.06635730858468677,0.032946635730858466,0.15498839907192574,2155,0,2025-05-06,antvis/G6VP,0,31,64,0,-33
488802963,2022-09,246,0.8733060975609757,1.0,0.9308943089430894,0.05986465382613222,0.032274856845393024,0.13638729828214471,1921,0,2025-05-06,antvis/G6VP,0,32,64,0,-32
488802963,2022-10,251,0.8758298804780876,1.0,0.9282868525896414,0.06097560975609756,0.033934252386002124,0.1378579003181336,1886,0,2025-05-06,antvis/G6VP,0,33,64,0,-31
488802963,2022-11,277,0.8802646209386282,1.0,0.9350180505415162,0.0593812375249501,0.031936127744510975,0.13572854291417166,2004,0,2025-05-06,antvis/G6VP,0,34,64,0,-30
488802963,2022-12,279,0.8811229390681004,1.0,0.9354838709677419,0.0591745400298359,0.03182496270512183,0.1352560914967678,2011,0,2025-05-06,antvis/G6VP,0,35,64,0,-29
488802963,2023-01,282,0.8823875886524823,1.0,0.9361702127659575,0.058823529411764705,0.03163618388531883,0.13445378151260504,2023,0,2025-05-06,antvis/G6VP,0,36,64,0,-28
488802963,2023-02,313,0.8876463258785943,1.0,0.939297124600639,0.05580159433126661,0.030558015943312665,0.1271036315323295,2258,0,2025-05-06,antvis/G6VP,0,37,64,0,-27
488802963,2023-03,323,0.8880287925696595,1.0,0.934984520123839,0.06484018264840183,0.038356164383561646,0.14383561643835616,2190,0,2025-05-06,antvis/G6VP,0,38,64,0,-26
