axis,beta,se,p,wild_p,bjs,n,G,base,tost25,ci_lo,ci_hi
semantic_score,-0.0018617957881472695,0.0022505785352484853,0.4080941950028487,0.44,-0.0022465934963717673,13702,446,0.9582854914106173,0.0,-0.0062729297172343015,0.002549338140939762
keyboard_score,-0.00047907951613811156,0.002044869286028125,0.814764749290591,0.83,0.0010818269070543734,13702,446,0.9766587309613866,0.0,-0.004487023316753237,0.0035288642844770136
wcag_total_dens,-0.0005294439263445753,0.0013645944361404363,0.6980261828637646,0.6975,-0.0009955422866418987,13698,446,0.026108997358437053,5.5309285501570216e-06,-0.0032040490211798305,0.0021451611684906798
wcag_operable_dens,-0.000250957136347583,0.0010754646792387873,0.8154914742010622,0.795,-0.0017085287511746092,13698,446,0.011636458752605026,0.006724813299028742,-0.0023588679076556062,0.0018569536349604403
severity_weighted_dens,-0.0011676031150181384,0.0029569790753596055,0.6929436264833448,0.725,-0.0005174953918240877,13698,446,0.06313908933298813,3.8409934788319333e-07,-0.006963282102722965,0.004628075872686687
